date,title,amount
2025-04-17,Supermerc Gomes,7.69
2025-04-17,Supermerc Gomes,32.89
2025-04-18,Buffon,28.96
2025-04-18,Ricky Lanches,33.0
2025-04-19,Concessionaria das Rod,5.5
2025-04-19,Supermercados Dalpiaz,75.72
2025-04-20,Supermerc Gomes,32.22
2025-04-22,Barbeiro,50.0
2025-04-22,Hortifruti Bom Gosto L,32.68
2025-04-23,Pegue Pao Padaria e Co,49.84
2025-04-23,Ricky Lanches,33.0
2025-04-24,Hortifruti Bom Gosto L,42.45
2025-04-24,Ricky Lanches,33.0
2025-04-25,Amaro,4.0
2025-04-25,Hortifruti Bom Gosto L,25.17
2025-04-25,Pompeia Filial - Parcela 1/5,61.96
2025-04-25,Ricky Lanches,33.0
2025-04-26,A Lenha Pizzaria Santo,54.74
2025-04-26,Barbeiro,20.0
2025-04-27,Concessionaria das Rod,5.5
2025-04-27,Epemek Iii,63.5
2025-04-28,Agouqueosoriense,75.7
2025-04-28,Armazem Avila,11.5
2025-04-28,Concessionaria das Rod,5.5
2025-04-28,Free Way,127.8
2025-04-28,Havan Poa Assis Brasil - Parcela 1/5,32.03
2025-04-28,Xbeleza,44.0
2025-04-29,Ricky Lanches,33.0
2025-04-30,Havan Poa Assis Brasil - Parcela 2/5,31.99
2025-04-30,Hortifruti Bom Gosto L,49.96
2025-04-30,Pg *Xgrow - Parcela 5/12,299.7
2025-04-30,Pompeia Filial - Parcela 2/5,61.96
2025-04-30,Posto Marco Zero - Parcela 5/6,48.99
2025-04-30,Prime Fit Academia - Parcela 5/12,29.99
2025-04-30,Prime Fit Academia - Parcela 6/12,54.15
2025-04-30,Ricky Lanches,36.0
2025-05-01,Posto Marco Zero,4.99
2025-05-01,Ricky Lanches,36.0
2025-05-02,Hortifruti Bom Gosto L,38.5
2025-05-02,Paulo Cezar Santos da,8.98
2025-05-03,Posto Milhas,266.02
2025-05-03,Ricky Lanches,36.0
2025-05-03,Supermerc Gomes,107.09
2025-05-04,Cia do Sabor,164.8
2025-05-06,Hortifruti Bom Gosto L,57.54
2025-05-06,Ricky Lanches,36.0
2025-05-07,Carlos Henrique R de S,36.0
2025-05-07,Supermerc Gomes,196.92
2025-05-08,Minhocaburger,5.0
2025-05-09,Abastecedorade,23.96
2025-05-09,Bazar Rodrigues,20.49
2025-05-09,Chopp House,36.0
2025-05-09,Concessionaria das Rod,5.5
2025-05-09,Executivos Hotel,525.0
2025-05-09,Rede Farroupilha Gesta,104.43
2025-05-09,Via Sul Fpay,5.5
2025-05-10,Parmas Pizzaria,42.66
2025-05-10,Restaurante Porao,50.0
2025-05-11,Buon Mangiare,45.0
2025-05-11,Executivos Gourmet,5.0
2025-05-12,Churrascaria Laguinho,45.0
2025-05-12,Concessionaria das Rod,5.5
2025-05-12,Epemek Iii,30.0
2025-05-12,Paradouro Cardoso Viei,16.0
2025-05-12,Posto Milhas,150.04
2025-05-12,Posto Parati Nota,4.0
2025-05-12,Posto Parati Nota,208.55
2025-05-13,Marlon Silva dos Santo - Parcela 1/3,39.68
2025-05-13,Rede Farroupilha Gesta,30.96
2025-05-13,Ricky Lanches,45.0
2025-05-13,Supermerc Gomes,77.27
2025-05-13,Urbanni Cafe e Boutiqu,16.9
2025-05-14,Mercado Uniao Zeroum,46.2
2025-05-14,Ricky Lanches,36.0
2025-05-15,Mercado Santo Antonio,31.83
2025-05-15,Ricky Lanches,36.0
2025-05-15,Supermerc Gomes,8.7
2025-05-15,Supermerc Gomes,13.2
2025-05-16,Barbeiro,50.0
2025-05-16,Bazar Rodrigues,19.99
2025-05-16,Hortifruti Bom Gosto L,5.93
2025-05-16,Hortifruti Bom Gosto L,26.37
2025-05-16,Ricky Lanches,36.0
2025-05-17,Hortifruti Bom Gosto L,55.29
2025-05-17,Mercearia Serrana,36.82
2025-05-18,Comercial de Utilidade,48.0
2025-05-18,Concessionaria das Rod,5.5
2025-05-18,Krepsdadessa,54.0
2025-05-19,Adair J Muniz Pereira,3.81
2025-05-20,Hortifruti Bom Gosto L,101.5
2025-05-20,Ivone Teresinha da Sil,23.0
2025-05-20,Mercado Uniao Zeroum,8.99
2025-05-21,Hortifruti Bom Gosto L,47.35
2025-05-22,Farmacia Sao Joao - Parcela 1/4,21.02
2025-05-22,Mercado Santo Antonio,5.88
2025-05-22,Xbeleza,44.0
2025-05-23,Espetinhofest,6.0
2025-05-23,Farmacia Sao Joao,14.9
2025-05-23,Johnny Burgers,45.0
2025-05-23,Livraria Abc M,1.5
2025-05-23,Mercado Uniao Zeroum,21.66
2025-05-24,Hortifruti Bom Gosto L,58.4
2025-05-24,Mercado Compre Bem,15.66
2025-05-24,Mercearia Serrana,58.53
2025-05-25,Sao Joao Farmacias,4.98
2025-05-26,Paulo Cezar Santos da,27.2
2025-05-26,Posto Marco Zero,61.9
2025-05-28,Gemeascel,19.99
2025-05-28,Google One,96.99
2025-05-28,Hortifruti Bom Gosto L,26.26
2025-05-28,Marcio Pizzaria Sto An,93.7
2025-05-28,Mercado Santo Antonio,5.48
2025-05-28,Ricky Lanches,36.0
2025-05-29,Hortifruti Bom Gosto L,35.31
2025-05-29,Posto Marco Zero,61.9
2025-05-29,Ricky Lanches,36.0
2025-05-30,A Lenha Pizzaria Santo,80.0
2025-05-30,Mercearia Serrana,32.51
2025-05-31,Farmacia Sao Joao - Parcela 2/4,20.99
2025-05-31,Havan Poa Assis Brasil - Parcela 3/5,31.99
2025-05-31,Hortifruti Bom Gosto L,81.4
2025-05-31,Marlon Silva dos Santo - Parcela 2/3,39.66
2025-05-31,Pg *Xgrow - Parcela 6/12,299.7
2025-05-31,Pompeia Filial - Parcela 3/5,61.96
2025-05-31,Posto Marco Zero - Parcela 6/6,48.99
2025-05-31,Prime Fit Academia - Parcela 6/12,29.99
2025-05-31,Prime Fit Academia - Parcela 7/12,54.15
2025-05-31,X do Brutus Restaurant,36.0
2025-06-01,Supermerc Gomes,34.31
2025-06-01,Supermerc Gomes,357.13
2025-06-02,Posto Milhas,255.6
2025-06-03,X do Brutus Restaurant,36.0
2025-06-04,Barbeiro,35.0
2025-06-04,Mercado Uniao Zeroum,12.91
2025-06-04,Padariasanta,9.3
2025-06-04,Ricky Lanches,36.0
2025-06-05,Mercado Santo Antonio,34.9
2025-06-05,Rb Agro,12.1
2025-06-05,Ricky Lanches,36.0
2025-06-06,Ricky Lanches,36.0
2025-06-07,Ricky Lanches,36.0
2025-06-07,Supermerc Gomes,145.47
2025-06-08,57 211 481 Gabriel Car,23.0
2025-06-09,Concessionaria das Rod,5.5
2025-06-09,Linos Restaurante,78.0
2025-06-09,Rohr Amp Rohr Comercio,30.73
2025-06-10,Ricky Lanches,36.0
2025-06-11,Juliocesar,17.99
2025-06-11,Mercado Santo Antonio,17.56
2025-06-11,Mercado Uniao Zeroum,35.24
2025-06-11,Ricky Lanches,36.0
2025-06-12,Hortifruti Bom Gosto L,86.97
2025-06-12,Ricky Lanches,40.0
2025-06-13,Minhocaburger,68.0
2025-06-13,Rede Farroupilha Gesta,242.0
2025-06-13,Ricky Lanches,36.0
2025-06-13,Supermerc Gomes,22.12
2025-06-14,Allpark Empreendimento,11.0
2025-06-14,Arcoplexcinemas - Bour,27.0
2025-06-14,Arcoplexcinemas - Bour,51.0
2025-06-14,Burger King,3.5
2025-06-14,Concessionaria das Rod,5.5
2025-06-14,Hortifruti Bom Gosto L,18.53
2025-06-14,Mamma Mia Gravatai,39.0
2025-06-14,Mercearia Serrana,52.54
2025-06-14,Shopping Gravatai,3.0
2025-06-14,Via Sul Fpay,5.5
2025-06-14,Winner Diversoes,8.0
2025-06-14,Winner Diversoes,10.0
2025-06-15,Concessionaria das Rod,5.5
2025-06-17,Hortifruti Bom Gosto L,67.17
2025-06-17,Ricky Lanches,36.0
2025-06-17,Uber* Trip,7.91
2025-06-18,Mercado Santo Antonio,45.85
2025-06-18,Ricky Lanches,36.0
2025-06-21,Hortifruti Bom Gosto L,46.86
2025-06-21,Mercearia Serrana,23.9
2025-06-21,Santo Antonio da Pat,23.9
2025-06-24,Mercado Uniao Zeroum,33.05
2025-06-24,Rede Farroupilha Gesta,40.0
2025-06-25,Hortifruti Bom Gosto L,83.53
2025-06-25,Ricky Lanches,36.0
2025-06-26,Mercado Santo Antonio,8.69
2025-06-26,Mercado Uniao Zeroum,8.99
2025-06-26,Posto Milhas,50.0
2025-06-26,Ricky Lanches,36.0
2025-06-27,Ricky Lanches,36.0
2025-06-28,Barbeiro,50.0
2025-06-28,Google One,96.99
2025-06-28,Hortifruti Bom Gosto L,39.57
2025-06-28,Mercearia Serrana,44.03
2025-06-28,Redemacsanto - Parcela 1/2,57.0
2025-06-28,Santo Antonio da Pat,35.83
2025-06-29,Sao Joao Farmacias,22.99
2025-06-30,Farmacia Sao Joao - Parcela 3/4,20.99
2025-06-30,Havan POA - Parcela 4/5,31.99
2025-06-30,Marlon Silva dos Santo - Parcela 3/3,39.66
2025-06-30,Padaria e Confeitaria,20.06
2025-06-30,Pg *Xgrow - Parcela 7/12,299.7
2025-06-30,Pompeia Filial - Parcela 4/5,61.96
2025-06-30,Prime Fit Academia - Parcela 7/12,29.99
2025-06-30,Prime Fit Academia - Parcela 8/12,54.15
2025-06-30,Redemacsanto - Parcela 2/2,57.0
2025-07-01,Hortifruti Bom Gosto L,85.65
2025-07-01,Posto Marco Zero,296.05
2025-07-01,Supermerc Gomes,291.25
2025-07-03,Hortifruti Bom Gosto L,49.3
2025-07-03,Padaria e Confeitaria,12.73
2025-07-03,Uber* Trip,7.97
2025-07-04,Cremolatto Santo Anton,38.49
2025-07-04,Mercado Santo Antonio,10.04
2025-07-04,Ricky Lanches,36.0
2025-07-04,Sao Joao Farmacias - Parcela 1/2,22.27
2025-07-04,Supermerc Gomes,263.19
2025-07-05,Concessionaria das Rod,5.5
2025-07-05,Ricky Lanches,36.0
2025-07-06,Atacadao 088 As,70.27
2025-07-06,Concessionaria das Rod,5.5
2025-07-06,Leroy Merlin - Parcela 1/2,106.33
2025-07-07,Bazar Rodrigues,8.49
2025-07-07,Mercearia Serrana,15.93
2025-07-07,Padaria e Confeitaria,15.24
2025-07-07,Sao Joao Farmacias,23.74
2025-07-07,Supermerc Gomes,9.5
2025-07-08,Conta Vivo,65.0
2025-07-08,Juliocesar,6.0
2025-07-08,Juliocesar,28.99
2025-07-08,Minhocaburger,68.0
2025-07-08,Mini*Mercado,3.59
2025-07-09,Facebk *4gkuguynn2,0.46
2025-07-09,Facebk *Dlc8rv4pn2,20.25
2025-07-09,Facebk *Xbe8mvcpn2,15.22
2025-07-09,Hortifruti Bom Gosto L,72.81
2025-07-09,Paygo*Barbearia San,35.0
2025-07-09,Ricky Lanches,36.0
2025-07-10,Facebk *Mzzucuqnn2,20.04
2025-07-10,Ricky Lanches,36.0
2025-07-11,Hortifruti Bom Gosto L,8.06
2025-07-11,Mercado Santo Antonio,9.48
2025-07-11,Mercado Uniao Zeroum,2.56
2025-07-11,Ricky Lanches,36.0
2025-07-12,Ricky Lanches,36.0
2025-07-12,Supermerc Gomes,91.57
2025-07-13,Buffon,53.49
2025-07-13,Concessionaria das Rod,5.5
2025-07-13,Sao Joao Farmacias,12.06
2025-07-15,Mercado Santo Antonio,59.13
2025-07-15,Mercado Uniao Zeroum,13.11
2025-07-15,Posto Milhas,60.0
2025-07-15,Ricky Lanches,36.0
2025-07-16,Hortifruti Bom Gosto L,103.42
2025-07-16,Intercity Canoas,10.0
2025-07-16,Posto Marco Zero,7.99
2025-07-16,Supermerc Gomes,23.28
2025-07-18,Concessionaria das Rod,5.5
2025-07-18,Conta Vivo,142.97
2025-07-18,Hortifruti Bom Gosto L,77.21
2025-07-18,Posto Marco Zero,257.99
2025-07-19,Farmaciamuniz,14.9
2025-07-19,Mercearia Serrana,40.88
2025-07-19,Pegue Pao Padaria e Co,24.35
2025-07-20,Barbeiro,50.0
2025-07-21,Concessionaria das Rod,5.5
2025-07-23,Hortifruti Bom Gosto L,80.88
2025-07-23,Santo Antonio da Pat,39.9
2025-07-24,Supermerc Gomes,40.46
2025-07-25,Barbeiro,35.0
2025-07-25,Livraria Abc M,4.0
2025-07-25,Marcio Pizzaria Sto An,33.9
2025-07-26,Hortifruti Bom Gosto L,77.67
2025-07-26,Mercearia Serrana,60.9
2025-07-27,Hortifruti Bom Gosto L,8.97
2025-07-28,Google One,96.99
2025-07-28,Supermerc Gomes,35.58
2025-07-29,Mercearia Serrana,15.12
2025-07-30,Supermerc Gomes,93.22
2025-07-30,Vanderleijosedoss,2.5
2025-07-31,Farmacia Sao Joao - Parcela 4/4,20.99
2025-07-31,Havan POA - Parcela 5/5,31.99
2025-07-31,Joao D Avila da Silva,30.0
2025-07-31,Joicesabrina,23.99
2025-07-31,Leroy Merlin - Parcela 2/2,106.33
2025-07-31,Pg *Xgrow - Parcela 10/12,299.7
2025-07-31,Pg *Xgrow - Parcela 11/12,299.7
2025-07-31,Pg *Xgrow - Parcela 12/12,299.7
2025-07-31,Pg *Xgrow - Parcela 8/12,299.7
2025-07-31,Pg *Xgrow - Parcela 9/12,299.7
2025-07-31,Pompeia Filial - Parcela 5/5,61.96
2025-07-31,Prime Fit Academia - Parcela 10/12,29.99
2025-07-31,Prime Fit Academia - Parcela 10/12,54.15
2025-07-31,Prime Fit Academia - Parcela 11/12,29.99
2025-07-31,Prime Fit Academia - Parcela 11/12,54.15
2025-07-31,Prime Fit Academia - Parcela 12/12,29.99
2025-07-31,Prime Fit Academia - Parcela 12/12,54.15
2025-07-31,Prime Fit Academia - Parcela 8/12,29.99
2025-07-31,Prime Fit Academia - Parcela 9/12,29.99
2025-07-31,Prime Fit Academia - Parcela 9/12,54.15
2025-07-31,Santo Antonio da Pat,7.0
2025-07-31,Sao Joao Farmacias - Parcela 2/2,22.27
2025-08-01,A Lenha Pizzaria Santo,8.0
2025-08-01,Barbeiro,35.0
2025-08-02,Milena dos Santos Muni,9.29
2025-08-02,Rede Farroupilha Gesta,245.05
2025-08-02,Supermerc Gomes,547.95
2025-08-04,Supermerc Gomes,60.29
2025-08-05,Posto Marco Zero,12.98
2025-08-06,Hortifruti Bom Gosto L,101.57
2025-08-06,Mercado Uniao Zeroum,16.86
2025-08-08,Barbeiro,35.0
2025-08-08,Hortifruti Bom Gosto L,41.11
2025-08-09,Lojas Americanas,46.97
2025-08-09,Mercadopago *Ribassol,9.9
2025-08-09,Pegue Pao Padaria e Co,38.24
2025-08-10,Buena Pizza,160.0
2025-08-10,Concessionaria das Rod,5.5
2025-08-10,Supermecado Dalpiaz,35.13
2025-08-11,Acoriana,9.29
2025-08-11,Concessionaria das Rod,5.5
2025-08-12,Posto Milhas,12.99
2025-08-13,Mercado Uniao Zeroum,19.78
2025-08-13,Supermerc Gomes,127.02
2025-08-14,Lfmsparque,55.0
2025-08-14,Minhocaburger,102.0
2025-08-14,Puxadaboa,7.0
2025-08-15,Barbeiro,35.0
2025-08-15,Joicesabrina,52.83
2025-08-15,Mercado Uniao Zeroum,17.56
2025-08-15,Posto Marco Zero,7.99
2025-08-16,Rede Farroupilha Gesta,100.0
2025-08-16,Supermerc Gomes,138.65
2025-08-17,Xis Beleza,32.0
2025-08-18,Supermercado Asun,62.34
2025-08-19,Hortifruti Bom Gosto L,33.24
2025-08-19,Mercado Santo Antonio,16.46
2025-08-20,Mercado Santo Antonio,8.72
2025-08-20,Mercado Uniao Zeroum,19.12
2025-08-21,Mercado Santo Antonio,14.96
2025-08-21,Minhocaburger,34.0
2025-08-22,Adair J Muniz Pereira,7.29
2025-08-22,Barbeiro,35.0
2025-08-22,Pegue Pao Padaria e Co,25.87
2025-08-22,Posto Milhas,242.86
2025-08-23,Hortifruti Bom Gosto L,96.54
2025-08-23,Mercado Santo Antonio,13.99
2025-08-23,Mercado Santo Antonio,17.98
2025-08-23,Supermerc Gomes,129.69
2025-08-24,Dl *Google Musical Cho,39.9
2025-08-25,Concessionaria das Rod,5.5
2025-08-25,Jj Eventos,132.51
2025-08-25,Padaria e Confeitaria,13.04
2025-08-26,Bazar Rodrigues,10.19
2025-08-26,Bazar Rodrigues,21.98
2025-08-26,Carlos Henrique R de S,58.0
2025-08-26,Hortifruti Bom Gosto L,23.62
2025-08-26,Marcio Pizzaria Sto An,97.8
2025-08-26,Mercearia Serrana,35.93
2025-08-27,Hortifruti Bom Gosto L,49.78
2025-08-28,Carlos Henrique R de S,60.0
2025-08-28,Google One,96.99
2025-08-28,Rb Agro,9.6
2025-08-29,Barbeiro,35.0
2025-08-29,Juliocesar,30.0
2025-08-30,Borbacafeteria,8.0
2025-08-30,Borbacafeteria,19.0
2025-08-30,Panvel Farmacias,4.99
2025-08-30,Supermerc Gomes,130.94
2025-09-01,Conta Vivo,71.71
2025-09-02,Adair J Muniz Pereira,23.12
2025-09-02,Mercado Santo Antonio,66.87
2025-09-02,Uber Uber *Trip Help.U,8.97
2025-09-02,Uber* Trip,11.91
2025-09-03,Acessorio Patrulhense - Parcela 1/3,144.68
2025-09-03,Mercado Uniao Zeroum,19.17
2025-09-04,Hortifruti Bom Gosto L,30.62
2025-09-04,Mercearia Serrana,125.24
2025-09-04,Supermerc Gomes,403.93
2025-09-05,Hortifruti Bom Gosto L,38.75
2025-09-05,Posto Marco Zero,9.98
2025-09-06,Barbeiro,35.0
2025-09-06,Fernandes Fernandes e,57.73
2025-09-07,Concessionaria das Rod,5.5
